huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
2,1,1,1,49,4.52,0,1,1,0,1,1,1,1,1,0
6,2,3,2,160,4.0,1,1,1,1,1,1,0,1,1,1
6,2,3,1,120,5.0,1,1,1,0,1,1,0,0,0,1
3,1,2,1,45,4.57,1,1,1,1,0,1,0,1,1,1
6,2,2,2,173,4.93,1,1,1,0,1,1,0,1,0,1
6,3,4,1,138,4.88,1,1,1,1,1,1,0,1,1,1
6,3,4,2,94,4.37,1,0,1,0,1,1,0,1,1,1
6,3,3,2,229,4.71,1,1,0,1,1,1,0,1,1,0
6,3,3,2,95,4.34,1,0,1,1,1,1,0,1,1,1
3,0,2,1,72,4.67,1,0,1,1,1,1,0,1,1,0
6,1,3,1,120,4.96,1,1,0,1,1,1,0,1,1,1
6,3,5,2,133,4.93,1,1,1,0,1,1,0,1,0,1
2,0,1,1,53,4.8,1,1,0,1,1,1,0,1,1,0
5,2,4,1,125,4.64,1,1,1,1,1,1,0,1,1,0
6,3,4,2,125,4.46,1,0,0,1,1,1,0,1,0,1
4,2,2,1,90,4.94,1,1,1,0,1,1,0,1,1,1
8,3,4,2,167,4.72,1,1,1,1,1,1,0,1,1,0
5,2,4,2,109,4.0,1,1,1,1,1,1,1,1,1,0
4,1,1,1,82,4.72,1,1,1,1,1,1,1,1,1,0
